5,1
27,1
29,2
30,3
34,1
35,4
53,5
55,1
57,6
63,7
69,1
75,8
76,9
80,10
83,11
93,12
100,1
101,13
104,14
105,15
108,16
126,17
128,1
138,18
156,19
159,20
160,21
168,22
170,17
176,19
182,1
204,23
205,1
212,1
215,24
223,25
228,1
233,11
234,26
238,22
239,27
240,28
247,17
253,1
258,29
270,30
272,31
273,32
274,33
285,15
288,1
294,34
303,1
307,1
308,12
316,1
320,35
321,36
324,37
328,38
330,5
331,39
332,12
333,40
336,41
351,42
353,20
359,37
362,1
364,1
370,43
374,44
379,17
380,45
381,1
389,46
393,47
401,1
403,48
409,1
416,49
418,50
437,51
438,52
441,1
444,17
463,52
466,1
467,1
475,53
479,23
492,54
493,1
494,1
501,55
513,56
514,37
517,1
520,57
523,58
524,59
526,60
527,37
529,1
539,61
568,62
572,63
574,1
582,1
584,1
585,1
588,64
592,37
596,1
605,1
608,65
632,62
633,1
637,66
641,67
650,68
660,69
661,70
663,24
678,71
681,17
684,72
693,17
694,46
700,1
705,1
714,1
715,73
720,69
726,29
728,37
730,1
734,37
741,74
743,1
745,1
749,50
754,1
755,32
759,75
760,76
763,77
769,5
770,78
774,79
775,80
780,12
786,81
788,82
792,1
798,83
801,84
802,85
804,86
820,64
826,87
839,88
841,1
844,89
845,90
847,91
862,37
863,92
866,14
870,47
873,1
880,30
888,17
891,61
892,18
898,93
901,94
903,68
909,95
912,96
913,97
915,1
920,1
921,98
922,1
926,99
931,100
933,101
940,1
952,1
963,102
967,1
977,97
979,1
988,1
993,1
999,1
1012,103
1013,104
1015,103
1043,79
1050,105
1051,6
1054,106
1058,106
1061,107
1096,108
1102,109
1104,1
1113,1
1115,110
1122,1
1123,111
1131,112
1135,1
1138,103
1139,103
1140,103
1142,113
1145,108
1149,99
1158,114
1171,115
1173,28
1174,116
1182,117
1183,118
1184,1
1185,1
1192,1
1193,1
1194,17
1195,1
1201,1
1203,119
1205,120
1215,121
1218,1
1221,122
1222,85
1224,17
1226,32
1230,123
1244,1
1245,100
1251,87
1257,124
1258,125
1260,1
1274,126
1277,127
1278,128
1279,129
1281,37
1290,81
1297,130
1307,1
1328,1
1330,131
1331,1
1333,132
1334,1
1336,96
1337,33
1338,1
1342,133
1348,78
1350,1
1353,134
1360,38
1363,135
1364,136
1367,116
1369,18
1372,5
1374,137
1376,44
1377,138
1379,1
1385,139
1390,1
1391,1
1397,140
1400,141
1403,137
1407,139
1418,142
1420,143
1423,22
1444,19
1457,1
1471,144
1482,145
1489,146
1496,147
1499,1
1500,148
1506,149
1515,7
1525,150
1533,151
1537,152
1548,79
1550,83
1557,153
1559,1
1560,154
1563,17
1569,111
1570,72
1575,155
1582,156
1583,1
1590,157
1591,20
1593,23
1597,158
1599,17
1600,1
1611,159
1614,62
1615,61
1616,121
1631,1
1635,160
1638,67
1648,111
1652,21
1662,161
1664,162
1671,163
1673,164
1674,45
1681,165
1684,166
1685,167
1686,93
1699,1
1707,17
1708,168
1714,169
1716,170
1720,171
1726,172
1745,1
1753,1
1757,11
1762,1
1765,173
1783,91
1786,1
1816,1
1823,1
1825,174
1827,1
1832,47
1838,1
1839,175
1841,171
1846,1
1854,7
1855,176
1860,177
1865,1
1867,178
1870,179
1871,179
1872,113
1873,37
1877,180
1880,181
1884,1
1890,91
1899,182
1900,183
1903,164
1906,184
1907,4
1909,185
1910,127
1919,37
1926,120
1931,120
1934,17
1953,186
1957,187
1973,188
1985,189
1987,5
1990,150
1991,65
1992,71
1996,94
1998,1
1999,135
2006,110
2010,172
2012,190
2029,1
2033,174
2035,1
2036,17
2037,188
2038,1
2044,146
2049,1
2091,1
2095,52
2099,191
2103,1
2105,17
2108,1
2116,10
2125,192
2129,1
2135,1
2137,1
2140,1
2141,193
2142,57
2144,194
2148,1
2156,17
2166,132
2168,195
2170,158
2186,196
2196,197
2203,198
2207,199
2210,69
2213,7
2214,116
2226,200
2228,1
2231,192
2243,1
2255,201
2257,1
2259,123
2268,197
