1,1,1
1,1815,1
1,2032,1
1,2054,1
1,5015,1
1,6198,1
1,6848,1
2,2,1
2,1375,1
2,1472,1
2,2022,1
2,2026,1
2,2509,1
2,3023,1
2,3025,1
2,4031,1
2,4280,1
2,6702,1
5,5,1
5,121,1
5,381,1
7,7,1
7,299,1
7,1232,1
7,4986,1
7,5027,1
7,6785,1
8,8,2
8,429,2
8,2520,1
8,2578,1
8,2749,1
9,9,1
9,4609,1
9,6756,1
10,10,1
10,7001,1
12,12,1
12,16,1
13,13,1
13,1426,1
13,4697,1
15,15,1
15,4978,1
16,12,1
16,16,4
16,86,2
16,5082,1
16,5557,1
16,7347,1
17,17,2
17,2077,2
17,2831,1
17,3517,1
17,4815,2
17,6886,1
18,18,1
18,23,1
18,1666,1
23,18,1
23,23,2
23,1666,1
23,3305,1
32,32,2
32,3525,2
32,3541,2
32,4996,2
33,33,1
40,40,1
40,672,1
40,5056,1
42,42,1
42,688,1
42,2385,1
42,4160,1
42,4506,1
42,6407,1
47,47,1
47,4246,1
47,6167,1
49,49,1
49,1796,1
49,4360,1
49,7828,1
52,52,1
52,6695,1
58,58,1
58,531,1
58,3382,1
59,59,1
59,779,1
59,1429,1
59,2924,1
59,3586,1
59,4381,1
59,4386,1
59,4825,1
59,5914,1
59,6625,1
59,6669,1
59,7612,1
61,61,1
61,1424,1
61,2482,1
64,64,1
64,506,1
64,3214,1
64,5789,1
65,65,1
65,4710,1
65,4762,1
67,67,1
67,3956,1
67,6243,1
70,70,1
70,929,1
70,4622,1
72,72,1
72,600,1
72,1038,1
72,7197,1
73,73,1
73,2899,1
73,5650,1
73,5901,1
74,74,1
74,3609,1
74,3610,1
74,5235,1
74,6103,1
77,77,1
77,2543,1
77,2548,1
77,3273,1
77,4163,1
77,4496,1
77,4797,1
77,7094,1
78,78,1
78,1655,1
78,4826,1
78,6086,1
78,6087,1
79,79,1
79,4154,1
81,81,2
81,3428,1
81,3429,1
81,6256,1
81,6815,1
81,6959,1
82,82,1
82,161,1
82,257,1
82,3381,1
82,4135,1
86,16,2
86,86,2
86,5557,1
86,7347,1
89,89,1
89,2427,1
89,5472,1
95,95,1
95,2465,1
95,2807,1
95,4849,1
95,5689,1
102,102,1
102,3371,1
102,4321,1
103,103,1
103,1121,1
103,2123,1
103,3522,1
103,4163,1
103,4360,1
103,4816,1
106,106,1
106,4661,1
106,6431,1
107,107,1
107,1434,1
110,110,1
110,271,1
110,691,1
110,2411,1
110,5230,1
110,6716,1
111,111,1
111,224,1
111,3337,1
111,5706,1
111,6887,1
113,113,1
113,4663,1
113,4666,1
113,5465,1
113,6308,1
113,7365,1
117,117,1
117,118,1
118,117,1
118,118,1
119,119,1
119,445,1
119,3383,1
119,3440,1
119,3629,1
119,4095,1
119,5135,1
119,6338,1
120,120,5
120,347,1
120,1419,5
120,3333,2
120,6374,1
121,5,1
121,121,1
121,381,1
122,122,1
122,2308,1
122,3807,1
125,125,1
125,283,1
125,3373,1
127,127,2
127,4551,1
127,4579,1
127,4691,1
127,5703,1
129,129,1
129,488,1
129,1824,1
129,2046,1
129,2054,1
129,2164,1
129,2516,1
129,3990,1
129,5016,1
129,5475,1
129,6198,1
133,133,1
133,735,1
133,899,1
134,134,1
134,902,1
134,1270,1
134,1980,1
134,6183,1
137,137,1
137,1891,1
137,4299,1
137,4634,1
139,139,1
139,4331,1
139,4398,1
139,6505,1
139,6584,1
141,141,2
141,310,1
141,5902,2
141,6511,1
141,7134,1
143,143,3
143,653,1
143,1728,2
143,2202,1
143,2483,1
143,4888,1
143,6125,2
143,7554,1
144,144,1
