,C594
1768,75
1771,48
1774,53
1775,87
1776,110
1777,86
1779,46
1781,138
1782,219
1785,365
1787,27
1791,27
1792,197
1796,18
1797,366
1804,367
1806,27
1807,27
1808,1
1810,368
1815,1
1818,369
1819,1
1820,335
1824,1
1828,27
1829,140
1830,67
1831,370
1833,122
1834,371
1836,372
1842,370
1848,373
1857,104
1858,374
1861,93
1863,375
1866,183
1868,342
1876,18
1889,56
1891,50
1892,376
1894,166
1895,152
1896,240
1897,377
1898,154
1902,1
1905,131
1912,201
1914,378
1917,61
1920,167
1922,1
1925,130
1941,379
1944,380
1946,368
1947,16
1948,381
1959,93
1960,110
1968,110
1975,382
1977,60
1978,113
1980,49
1984,48
1986,383
1989,226
1993,200
1994,18
1995,18
1997,122
2001,243
2002,384
2003,48
2007,348
2008,27
2011,27
2013,385
2015,386
2016,29
2017,387
2022,2
2023,1
2025,2
2026,2
2027,101
2028,1
2030,345
2031,53
2032,1
2034,345
2039,354
2040,107
2042,27
2046,1
2047,1
2051,378
2053,162
2054,1
2057,1
2059,388
2061,217
2063,389
2065,373
2067,207
2068,18
2070,27
2073,302
2074,390
2077,11
2079,391
2080,134
2082,82
2083,13
2084,62
2085,62
2090,374
2093,392
2094,349
2096,48
2100,111
2101,136
2102,95
2104,46
2107,153
2109,315
2110,393
2111,394
2113,264
2115,364
2120,395
2121,396
2123,18
2124,397
2126,181
2127,27
2128,133
2131,154
2132,1
2138,249
2142,206
2145,376
2151,116
2153,122
2155,394
2161,27
2162,398
2163,138
2164,1
2165,1
2167,399
2171,163
2173,235
2174,313
2179,400
2192,138
2195,173
2198,401
2199,323
2201,402
2202,53
2204,208
2205,403
2206,404
2209,287
2211,405
2215,128
2217,406
2221,193
2222,48
2227,27
2234,18
2235,60
2236,60
2238,27
2241,407
2248,408
2249,246
2250,27
2251,27
2252,27
2253,48
2254,409
2261,410
2265,411
2274,110
2276,412
2277,413
2280,274
2281,319
2282,70
2283,27
2284,414
2286,27
2288,48
2296,84
2299,151
2305,258
2307,415
2308,45
2309,269
2311,345
2312,1
2313,416
2314,79
2317,13
2319,243
2324,202
2329,398
2332,118
2335,27
2336,413
2341,27
2342,417
2344,418
2347,53
2348,419
2355,286
2361,419
2364,53
2369,420
2371,246
2372,421
2373,139
2374,422
2376,423
2384,424
2385,16
2387,175
2388,185
2395,1
2397,27
2399,144
2406,275
2407,425
2408,302
2409,381
2411,39
2413,426
2427,34
2432,122
2434,373
2435,427
2442,428
2445,64
2446,46
2449,60
2451,37
2460,128
2462,18
2464,16
2465,35
2470,170
2475,429
2476,430
2481,128
2482,22
2483,53
2485,27
2486,405
2488,1
2491,431
2493,27
2494,27
2495,55
2500,27
2501,18
2505,373
2507,27
2508,1
2509,2
2515,148
2516,1
2517,253
2518,253
2520,5
2522,432
2525,27
2532,74
2534,433
2540,434
2542,237
2543,18
2548,18
2556,403
2560,48
2561,435
2563,237
2564,269
2566,286
2567,436
2570,134
2571,437
2572,438
2575,185
2576,156
2577,98
2578,5
2589,71
2591,283
2592,425
2600,27
2602,159
2603,159
2606,251
2607,348
2609,27
2610,329
2613,189
2619,276
2620,439
2621,110
2624,27
2625,440
2632,132
2635,441
2637,17
2639,63
2644,374
2645,151
2647,18
2650,442
2652,443
2653,78
2658,444
2659,445
2661,171
2662,446
2665,27
2667,149
2668,171
2669,447
2672,244
2673,448
2674,171
2682,238
2683,449
2685,420
2689,276
2690,27
2691,450
2692,451
2694,29
2696,358
2698,395
2700,452
2710,452
2712,239
2715,88
2721,1
2723,367
2725,27
2728,261
2730,251
2732,177
2733,384
2735,453
2737,285
2741,32
2742,454
2743,385
2746,254
2747,455
2748,438
2749,5
2752,27
2754,373
2756,456
2757,303
2758,18
2769,457
2774,247
2777,265
2783,458
2785,232
2796,459
2797,16
2799,48
2801,218
2803,375
2807,35
2809,16
2813,139
2817,379
2819,27
2821,457
2824,460
2825,172
2829,110
2831,11
2833,53
2836,84
2837,325
2839,461
2842,16
2849,324
2853,403
2857,462
2865,344
2869,313
2871,463
2875,464
2876,48
2880,48
2881,265
2882,48
2886,465
2889,48
2890,87
2895,274
2899,28
2900,84
2903,277
2910,149
2914,466
2915,440
2916,467
2919,271
2920,468
2922,152
2923,274
2924,21
2926,48
2927,139
2928,469
2930,184
2934,149
2935,110
2940,470
2942,27
2944,27
2945,192
2948,471
2954,472
2956,27
2963,440
2968,181
2969,189
2971,385
2974,139
2975,172
2976,27
2977,357
2980,473
2981,27
2984,264
2985,27
2986,451
2987,27
2991,450
2993,27
2998,62
3000,27
3002,27
3004,48
3006,158
3007,251
3008,27
3009,474
3013,134
3014,475
3017,175
3019,476
3022,439
3023,2
3024,1
3025,2
3026,1
3027,2
3029,200
3033,464
3034,1
3035,27
3037,236
3038,408
3039,145
3042,267
3050,27
3052,27
3053,18
3056,88
3059,422
3064,477
3066,13
3067,478
