,C821
1505,405
1508,7
1509,406
1511,63
1512,407
1513,137
1516,202
1517,20
1518,408
1519,6
1520,113
1521,113
1522,102
1523,25
1526,10
1529,53
1530,409
1531,56
1532,172
1539,410
1542,201
1544,411
1545,412
1546,263
1549,413
1551,21
1552,21
1553,141
1554,191
1556,414
1562,136
1564,4
1565,21
1566,102
1568,338
1570,32
1572,415
1574,3
1576,255
1577,320
1578,416
1579,239
1581,417
1586,50
1587,336
1592,123
1594,418
1596,419
1598,187
1601,420
1602,184
1604,163
1608,421
1610,422
1613,8
1617,110
1618,423
1619,408
1620,408
1621,255
1622,261
1624,118
1626,424
1628,425
1630,231
1632,426
1634,427
1636,20
1637,420
1640,117
1642,373
1643,3
1644,121
1646,428
1647,310
1649,173
1653,394
1656,334
1658,92
1660,429
1661,25
1663,430
1665,15
1668,431
1669,244
1678,432
1679,433
1687,287
1689,434
1690,435
1691,149
1693,224
1695,19
1696,148
1697,219
1701,34
1702,205
1703,436
1704,437
1709,25
1710,438
1712,439
1713,439
1716,440
1717,409
1719,441
1722,442
1723,150
1725,137
1728,60
1731,96
1732,443
1733,444
1734,445
1736,348
1737,293
1739,446
1740,148
1741,219
1744,344
1745,313
1746,445
1747,239
1749,322
1750,428
1751,63
1752,52
1754,223
1756,196
1758,181
1764,20
1767,48
1768,34
1769,447
1770,288
1771,21
1772,63
1773,21
1777,448
1778,312
1780,308
1784,21
1788,3
1789,449
1790,257
1791,63
1793,21
1794,450
1795,451
1796,311
1798,452
1799,63
1800,63
1801,453
1802,454
1803,305
1805,369
1807,63
1808,455
1809,341
1811,456
1812,20
1813,177
1814,419
1817,160
1820,457
1821,51
1822,51
1826,173
1830,55
1833,378
1835,458
1837,153
1840,165
1842,459
1843,166
1844,398
1845,103
1847,55
1849,149
1850,460
1851,461
1852,242
1853,121
1856,426
1859,236
1862,462
1863,63
1864,463
1869,464
1874,465
1875,21
1878,6
1879,153
1881,231
1882,65
1883,131
1885,466
1886,90
1887,21
1888,467
1893,254
1897,122
1901,246
1902,468
1904,469
1906,382
1908,60
1911,166
1913,103
1915,470
1916,11
1918,471
1920,62
1921,43
1922,472
1923,25
1924,215
1927,473
1928,474
1929,10
1930,475
1932,476
1933,477
1935,478
1936,405
1937,479
1938,322
1939,480
1940,481
1942,482
1943,483
1945,305
1946,96
1949,76
1950,484
1951,485
1952,486
1954,96
1955,96
1956,424
1958,123
1961,487
1962,155
1963,63
1964,488
1965,390
1966,96
1967,489
1969,482
1970,175
1971,490
1972,37
1974,25
1975,491
1976,166
1979,55
1981,492
1982,175
1983,493
1986,21
1988,494
1997,378
2000,495
2003,21
2004,50
2005,133
2009,63
2011,63
2014,496
2015,497
2018,498
2019,499
2020,39
2021,481
2023,104
2024,58
2028,51
2032,51
2041,500
2043,172
2045,32
2048,106
2050,255
2052,161
2054,51
2055,67
2056,419
2058,4
2060,360
2062,501
2064,472
2066,190
2067,175
2069,63
2071,216
2072,363
2074,61
2075,379
2076,92
2078,191
2081,25
2082,502
2083,63
2086,503
2087,469
2088,248
2089,63
2092,504
2097,21
2098,142
2106,21
2109,55
2112,247
2114,457
2117,505
2118,91
2119,63
2122,260
2123,102
2128,167
2130,443
2133,506
2134,163
2136,114
2139,118
2143,25
2146,507
2147,508
2149,509
2150,510
2152,16
2154,51
2157,167
2158,166
2159,160
2160,511
2161,512
2164,51
