,C821
5741,768
5742,674
5745,96
5746,542
5747,643
5749,10
5750,72
5751,21
5754,691
5755,65
5756,65
5757,224
5759,216
5763,691
5764,219
5766,21
5767,719
5768,63
5769,116
5770,769
5771,63
5773,292
5774,163
5775,770
5776,262
5779,25
5781,771
5784,253
5785,67
5787,709
5791,568
5792,80
5796,118
5797,245
5800,376
5802,534
5803,631
5804,228
5807,163
5808,20
5809,111
5811,713
5813,281
5814,564
5816,255
5817,172
5820,172
5821,56
5822,53
5823,772
5824,500
5825,63
5826,63
5827,25
5829,75
5832,25
5834,773
5836,592
5837,604
5839,204
5840,53
5841,174
5843,25
5844,713
5846,120
5847,325
5849,223
5850,102
5851,50
5852,43
5855,102
5858,105
5859,43
5860,545
5865,167
5867,96
5871,234
5872,714
5873,443
5875,406
5877,345
5881,7
5882,147
5886,118
5887,34
5888,15
5889,440
5891,212
5894,440
5895,412
5898,707
5899,734
5900,17
5903,18
5905,157
5906,34
5911,6
5914,27
5915,294
5918,56
5919,413
5921,761
5922,648
5925,198
5929,451
5932,273
5934,134
5935,297
5940,130
5944,34
5945,313
5946,452
5947,21
5949,67
5950,582
5952,1
5954,690
5956,300
5957,63
5961,571
5966,579
5968,239
5969,285
5970,717
5971,626
5975,648
5976,424
5977,239
5978,724
5980,774
5985,775
5987,198
5989,223
5990,576
5991,198
5993,63
5996,666
5998,192
5999,96
6004,424
6007,198
6009,509
6010,515
6011,776
6012,413
6013,424
6015,296
6018,421
6019,63
6020,624
6023,34
6025,299
6029,689
6030,777
6033,411
6036,297
6037,63
6039,410
6040,348
6041,63
6043,386
6047,778
6048,63
6050,63
6051,641
6053,453
6054,700
6055,481
6057,621
6058,481
6059,20
6061,67
6065,312
6067,303
6068,358
6070,558
6071,15
6072,43
6073,25
6074,181
6075,181
6076,181
6078,174
6080,21
6083,153
6084,779
6085,16
6088,766
6090,216
6091,251
6093,257
6095,193
6096,56
6103,67
6109,191
6114,55
6117,8
6120,21
6122,60
6125,60
6126,63
6127,540
6131,728
6132,102
6134,45
6135,167
6136,502
6139,342
6141,465
6148,402
6152,623
6157,269
6159,22
6162,677
6164,118
6166,21
6167,360
6168,63
6170,451
6174,160
6176,662
6177,355
6179,56
6181,220
6182,36
6184,780
6185,15
6187,63
6188,301
6191,345
6193,303
6194,21
6198,51
6200,433
6204,173
6206,123
6208,186
6209,118
6210,65
6214,120
6223,232
6224,102
6225,331
6226,764
6227,764
6230,532
6231,198
6233,781
6234,561
6239,437
6241,392
6242,144
6244,109
6245,507
6248,706
6250,392
6251,782
6255,336
6258,243
6259,68
6265,45
6269,773
6270,25
6271,118
6274,404
6277,244
6279,238
6280,68
6283,25
6284,25
6285,25
6287,516
6288,82
6289,783
6293,475
6297,637
6298,150
6299,328
6301,21
6303,21
6304,163
6305,61
6316,784
6317,302
6318,485
6319,627
6320,174
6322,223
6323,96
6324,630
6326,63
6327,584
6328,321
6329,785
6330,423
6332,272
6335,249
6336,442
6337,60
6341,536
6342,345
6346,34
6348,593
6351,336
6354,160
6355,256
6356,732
6357,96
6359,76
6360,552
6361,680
6363,640
6364,682
6365,179
6366,786
6368,25
6370,787
6371,788
6372,63
6375,737
6376,724
6377,574
6379,594
6380,622
6384,196
6387,737
6389,37
6390,344
6392,63
6395,424
6396,25
6399,239
6402,651
6403,96
6405,96
6407,76
6409,482
6410,20
6411,463
6412,424
6415,6
6416,122
6417,51
6418,360
6419,196
6420,10
6423,532
6424,63
6426,598
6427,299
6430,588
6431,96
6432,65
6433,285
6434,318
6435,555
6436,450
6441,290
6443,767
6447,63
6448,305
6449,393
6451,346
6452,103
6455,63
6457,314
6458,49
6459,49
6463,337
6464,394
6465,763
6466,25
6467,680
6468,21
6469,643
6472,704
6474,638
6476,76
6477,789
6483,112
6491,119
6493,166
6496,290
6498,118
6499,165
6500,118
6501,136
6504,254
6508,254
6513,68
6515,336
6518,618
6519,240
6521,63
6523,371
6524,470
6526,63
6527,63
6528,572
6530,790
6532,63
6533,99
6535,742
6542,20
6543,133
6549,118
6550,128
6557,297
6558,20
6559,22
6560,167
6561,86
6562,167
6563,722
6569,552
6572,347
6573,20
6575,533
6576,203
6578,118
6579,111
6580,151
6581,151
6582,724
6583,500
6585,151
6588,20
6589,149
6591,222
6592,21
6594,56
6595,133
6596,653
6597,420
6598,42
6600,20
6602,21
6606,462
6607,30
6609,505
6610,118
6612,21
6613,21
6615,548
6616,791
6620,299
6622,704
6626,48
6629,25
6633,552
6638,113
6640,739
6641,96
6642,645
6644,294
6645,113
6649,402
6650,584
6656,173
6657,173
6659,45
6663,758
6667,748
6668,48
6669,27
6676,403
6678,167
6681,330
6682,776
6685,38
6688,127
6689,221
6690,728
6692,483
6693,32
6694,67
6698,571
6701,755
6705,275
6708,123
6709,642
6710,382
6711,124
6712,724
6714,191
6719,126
6720,744
6724,135
6725,63
6726,792
6729,722
6731,63
6732,63
6733,63
6735,519
6736,519
6738,63
6739,99
6742,63
6743,52
6744,747
6749,63
6751,63
6752,63
6753,793
6754,137
6757,794
6760,389
6761,63
6762,63
6764,61
6765,118
6766,391
6768,63
6769,102
6773,63
6774,34
6775,84
6776,364
6783,118
6787,747
6788,56
6792,429
6794,180
6795,163
6796,765
6797,59
6800,534
6802,136
6805,99
6808,377
6809,20
6811,719
6814,55
6816,196
6818,534
6820,102
6821,120
6826,94
6830,286
6832,63
6834,21
6837,766
6839,21
6843,693
6844,63
6846,21
6847,377
6851,507
6852,240
6853,404
6854,21
6856,115
6857,647
6859,480
6860,795
6862,45
6866,794
6869,34
6870,729
6872,652
6873,435
6876,10
6877,113
6878,67
6879,678
6881,250
6882,25
6883,189
6885,6
6888,161
6889,379
6890,56
6891,540
6896,95
6897,274
6902,734
6905,273
6907,20
6908,699
6909,683
6911,266
6912,585
6913,63
6914,796
6915,318
6916,686
6917,266
6918,63
6919,797
6920,316
6921,347
6922,688
6923,20
6924,15
6925,633
6926,63
6927,798
6930,618
6932,63
6934,346
6937,120
6938,63
6939,634
6940,25
6941,305
6944,112
6950,597
6951,22
6952,77
6953,464
6961,380
6962,528
6963,729
6964,573
6965,20
6966,20
6967,743
6968,214
6969,20
6971,704
6972,132
6973,622
6974,481
6975,305
6976,63
6977,142
6980,639
6981,328
6982,600
6983,34
6985,80
6988,503
6989,454
6990,620
6995,237
6998,34
6999,752
7000,34
7002,792
7003,34
7004,173
7005,229
7009,704
7013,404
7019,516
7020,25
7021,564
7024,479
7025,223
7026,20
7027,799
7028,786
7031,173
7032,25
7034,63
7035,63
7038,86
7039,449
7040,182
7042,305
7043,25
7045,761
7051,63
7052,210
7053,529
7054,800
7055,616
7056,586
7058,20
7061,63
7062,801
7063,142
7066,370
7069,220
7070,795
7072,25
7073,736
7074,63
7075,562
7080,143
7084,121
7085,680
7086,43
7087,239
7088,771
7089,561
7092,518
7093,545
7095,43
7097,25
7098,420
7099,535
7102,545
7103,25
7104,432
7105,772
7106,255
7109,241
7110,467
7111,467
7114,22
7116,25
7117,469
7119,757
7124,334
7125,436
7126,706
7128,163
7130,509
7132,173
7133,404
7136,20
7141,296
7142,177
7145,382
7146,212
7149,536
7151,594
7153,142
7158,493
7162,200
7163,266
7164,630
7165,583
7166,802
7167,701
7168,797
7169,474
7174,477
7175,240
7176,588
7178,735
7183,479
7184,63
7185,711
7187,63
7195,803
7200,707
7202,586
7206,804
7211,524
7214,569
7217,456
7219,805
7221,210
7224,358
7225,695
7226,525
7227,383
7231,305
7232,553
7234,806
7235,395
7236,783
7237,63
7242,239
7243,304
7244,529
7246,63
7247,20
7250,606
7253,194
7256,150
7258,777
7260,370
7261,800
7262,142
7263,608
7264,497
7269,396
7274,20
7275,210
7276,707
7277,324
7278,350
7279,715
7281,764
7283,627
7284,20
7285,63
7286,775
7288,210
7289,313
7293,497
7294,63
7299,63
7300,632
7302,512
7303,63
7304,522
7305,305
7306,1
7307,20
7308,196
7309,481
7310,556
7311,34
7312,20
7313,63
7314,34
7315,63
7316,807
7317,305
7318,528
7319,451
7320,610
7321,808
7323,583
7324,584
7325,702
7326,701
7329,305
7330,588
7333,1
7334,10
7337,348
7338,197
7340,210
7341,307
7342,479
7343,305
7351,214
7352,800
7353,589
7354,621
7355,766
7358,102
7359,809
7360,790
7362,503
7366,745
7367,24
7371,76
7372,724
7373,24
7375,96
7376,482
7377,396
7378,522
7379,608
7381,20
7384,86
7385,240
7387,456
7388,163
7389,210
7390,810
7394,63
7395,278
7396,811
7397,63
7398,319
7399,555
7400,692
7402,583
7403,597
7404,474
7405,474
7406,785
7407,209
7408,810
7409,63
7412,370
7414,63
7415,454
7416,777
7419,67
7420,778
7422,800
7423,86
7425,63
7427,63
7428,240
7430,328
7431,630
7435,239
7437,624
7438,313
7439,339
7442,239
7443,63
7444,601
7445,67
7446,258
7447,601
7448,424
7449,768
7450,549
7454,67
7456,317
7457,223
7458,416
7459,445
7460,495
7464,810
7473,764
7475,657
7479,608
7481,123
7483,752
7484,423
7487,452
7488,543
7489,20
7491,543
7493,120
7494,553
7495,341
7496,20
7498,132
7500,63
7501,198
7504,198
7506,63
7508,633
7509,456
7510,63
7513,63
7515,529
7516,251
7518,210
7520,63
7521,198
7523,337
7524,753
7525,173
7527,196
7529,305
7530,497
7532,690
7534,633
7535,751
7536,23
7537,812
7540,142
7541,63
7543,813
7546,809
7547,553
7550,313
7551,63
7554,48
7556,63
7558,198
7559,530
7561,806
7563,15
7564,76
7565,63
7566,93
7567,239
7568,339
7572,552
7577,807
7578,142
7579,348
7580,208
7583,264
7585,591
7589,590
7590,20
7591,350
7596,25
7597,36
7600,494
7601,664
7602,663
7605,750
7607,412
7609,412
7610,20
7611,639
7612,27
7615,605
7617,212
7621,505
7622,70
7624,589
7626,305
7627,557
7629,20
7631,63
7632,318
7633,543
7634,622
7635,622
7636,344
7637,347
7638,382
7639,63
7642,67
7643,324
7644,20
7645,779
7646,814
7647,63
7648,106
7649,240
7651,34
7653,63
7654,794
7655,191
7656,329
7659,612
7660,20
7661,20
7662,486
7664,612
7665,142
7669,20
7672,690
7674,626
7678,198
7679,63
7681,348
7683,210
7690,750
7692,383
7693,530
7695,613
7697,371
7700,63
7701,599
7702,63
7705,544
7706,738
7708,657
7709,340
7711,704
7714,815
7715,63
7719,313
7720,194
7722,400
7726,63
7727,816
7728,774
7732,223
7733,191
7734,770
7739,116
7740,167
7741,167
7744,196
7745,316
7746,21
7747,705
7749,162
7752,51
7753,164
7756,82
7758,191
7759,169
7760,63
7761,292
7762,426
7763,561
7766,154
7767,63
7769,477
7770,25
7772,429
7773,698
7776,319
7777,587
7778,321
7779,686
7780,687
7781,416
7782,699
7783,630
7784,1
7785,369
7786,328
7789,622
7791,142
7794,324
7795,554
7797,171
7803,555
7804,316
7805,582
7807,648
7808,707
7810,449
7813,528
7815,196
7819,690
7820,86
7821,606
7823,138
7824,7
7825,817
7827,305
7830,330
7831,556
7832,210
7833,656
7834,572
7837,573
7843,818
7844,801
7846,63
7848,456
7849,608
7852,801
7853,375
7854,211
7855,326
7857,817
7858,20
7859,486
7860,20
7862,384
7864,520
7865,454
7866,620
7869,211
7870,67
7871,142
7872,142
7873,20
7874,524
7875,384
7876,803
7877,800
7879,808
7880,307
7881,63
7882,63
7883,301
7884,694
7885,449
7886,815
7887,210
7889,20
7891,34
7892,800
7894,20
7895,63
7896,20
7897,187
7898,584
7899,321
7902,63
7905,413
7906,615
7908,348
7909,785
7910,609
7911,761
7912,582
7913,638
7914,63
7915,317
7916,796
7917,63
7918,607
7919,585
7920,305
7921,789
7923,738
7925,63
7926,812
7927,305
7930,539
7936,185
7938,131
7940,819
7946,63
7952,15
7953,146
7957,142
7958,392
7960,820
7961,63
7962,821
7965,20
7968,25
7970,356
